2026-02-04 10:48:17.053 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"ca4fc376-50ea-4a4c-bbfc-5dbba2d759e2","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P7Q2NF9A:00000009","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P7Q2NF9A"}
2026-02-04 10:49:38.893 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7C9:00000005","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7C9"}
2026-02-04 10:52:28.896 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:00000009","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 10:52:36.372 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:0000001F","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 10:53:18.112 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:00000053","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 10:56:00.873 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:00000093","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 10:57:19.366 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:000000AF","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 10:58:45.976 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:000000D1","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 10:59:27.180 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:000000ED","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 11:02:34.060 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:0000010F","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 11:03:34.000 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:00000131","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
